,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20
11,0,1,1,1,1,1,3,0,-1,7,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,2,0,2,2,0,1,0,1,0,2,1,1,0,1,0,2,2,1,1,2
12,0,1,1,1,1,1,3,0,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,1,0,1,1,0,2,2,2,2,0,0,2,2,2,2,0,1,1,1,2
13,0,1,1,1,1,1,3,0,-1,-1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,-1,2,1,2,0,1,1,0,0,1,1,1,2,2,1,2,2,1,1,2,0
14,0,1,1,1,4,3,1,5,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,2,2,1,2,3,5,1,-1,0,2,0,0,1,0,0,1,0,0,0,2,2,2,0,2,0,2,2,1
15,0,1,1,1,4,3,1,5,-1,-1,-1,-1,-1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,2,2,1,2,3,5,1,-1,2,0,0,2,0,2,0,1,1,2,1,0,2,0,1,2,2,2,2,2
16,0,1,1,1,4,3,1,5,-1,-1,2,1,0,0,0,0,0,0,1,1,3,0,1,1,0,0,0,2,2,1,2,3,5,1,-1,1,2,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2,2,0,2
17,0,1,1,1,4,3,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,0,2,2,1,2,1,1,2,1,1,2,2,0,1,1,0,0,2,0,0,2
18,0,1,1,1,4,3,1,5,-1,-1,-1,-1,0,0,0,0,0,0,1,1,3,0,1,1,0,0,0,2,2,1,2,3,5,1,-1,0,2,2,2,1,0,2,2,0,0,0,0,2,2,1,1,2,1,1,0
19,0,1,1,1,4,3,1,5,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,0,2,2,1,2,3,5,1,-1,0,1,0,2,2,2,0,2,0,0,1,1,1,2,0,2,1,0,1,1
20,0,1,1,1,4,3,1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,2,2,2,0,0,0,0,2,0,0,2,2,0,0,1,2,1,0,0,1
21,0,1,1,1,4,3,1,5,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,0,2,2,1,2,3,5,1,-1,0,0,1,0,2,0,1,2,2,2,1,1,2,2,2,0,2,1,1,1
22,0,1,1,1,4,3,1,0,-1,-1,-1,-1,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,1,1,2,1,1,2,0,1,0,0,1,2,0,0,0,2,1,1,1,2
23,0,1,1,1,1,1,3,0,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,2,0,2,1,2,1,0,0,2,2,0,0,1,1,2,1,2,1,0,2
24,0,1,1,1,1,1,3,0,-1,7,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,2,0,2,1,2,1,1,1,0,2,1,1,2,1,1,1,1,2,1,2
25,0,1,1,1,1,1,3,0,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,0,2,2,2,1,2,0,0,1,1,0,2,1,0,1,0,1,2,1,1
26,0,1,1,1,4,3,1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,1,2,0,1,1,1,1,1,2,0,0,0,1,1,0,1,1,1,2,2
27,0,1,1,1,4,3,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,0,1,1,1,2,2,2,0,1,2,0,1,2,2,1,1,0,0,0,1,1
28,0,1,1,1,4,3,1,0,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,2,2,2,0,1,2,2,2,0,2,2,2,0,0,2,0,1,1,1,2
29,0,1,1,1,1,1,3,0,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,0,0,1,2,1,1,0,1,0,1,2,2,0,0,2,2,1,0,0,1
30,0,1,1,1,1,1,3,0,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,2,0,0,2,2,1,1,2,0,2,2,0,0,1,2,0,2,2,0,1
31,0,1,1,1,4,3,1,0,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,1,2,2,1,1,1,2,2,2,1,0,0,0,1,1,0,2,0,1,1
32,0,1,1,1,4,3,1,5,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,2,2,1,2,3,5,1,-1,1,0,1,2,2,0,2,2,2,1,1,2,2,0,0,2,2,1,1,2
33,0,1,1,1,4,3,1,5,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,2,2,1,2,3,5,1,-1,1,2,1,0,0,1,0,1,0,1,0,1,2,1,1,1,0,1,0,2
34,0,1,1,1,1,1,3,0,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,1,0,2,1,2,2,2,1,1,1,2,1,2,2,2,1,2,1,1,0
35,0,1,1,1,1,1,3,0,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,-1,2,2,0,2,1,0,1,1,0,2,1,1,0,0,1,0,1,2,0,2
36,0,1,1,1,4,3,1,5,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,1,1,2,2,2,2,0,2,1,1,2,2,1,1,2,1,1,2,2,2
37,0,1,1,1,4,3,1,5,-1,3,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,1,2,0,0,0,2,0,1,2,0,1,0,1,1,0,0,0,2,0,2
38,0,1,1,1,1,1,3,0,-1,-1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,0,0,1,0,0,1,1,0,1,2,0,0,0,2,2,0,2,1,2,1
39,0,1,1,1,4,3,1,0,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,0,0,2,0,2,0,0,0,2,0,2,1,2,2,2,0,0,2,2,1,1
40,0,1,1,1,4,3,1,0,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,0,1,1,1,1,2,0,0,0,0,2,2,1,0,2,0,2,1,0,0,1
41,0,1,1,3,1,1,3,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,0,7,0,0,0,3,2,3,4,4,1,-1,0,2,0,1,0,1,2,1,1,1,0,0,1,1,0,1,0,1,1,0
42,0,1,1,1,1,1,3,0,-1,-1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,0,1,2,0,1,1,1,1,0,0,0,1,1,0,0,2,1,2,1,0
43,0,1,1,1,4,3,1,0,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,0,2,2,1,5,2,3,1,-1,1,1,1,2,2,2,0,0,1,1,0,2,0,0,2,1,0,2,0,2
44,0,1,1,1,4,3,1,5,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,0,2,2,1,2,3,5,1,-1,2,0,1,1,0,2,0,0,2,1,0,1,1,2,2,2,2,1,1,2
45,0,1,1,1,1,1,3,0,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,1,1,2,0,2,2,0,0,1,0,1,0,1,1,0,2,2,1,1,2
46,0,1,1,1,4,3,1,5,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,0,2,2,1,2,3,5,1,-1,0,2,0,2,1,0,2,2,1,2,1,0,1,2,1,0,0,2,1,1
47,0,1,1,1,1,1,3,0,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,0,2,3,2,3,4,4,1,1,2,0,0,2,2,1,1,0,1,1,2,0,2,1,0,0,1,1,1,1
48,0,1,1,1,4,3,1,5,-1,6,4,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,0,2,2,1,2,3,5,1,-1,2,2,2,1,1,2,0,1,0,1,1,0,2,1,1,0,2,0,1,2
49,0,1,1,1,1,1,3,0,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,7,0,0,2,2,1,5,2,3,1,-1,1,1,0,2,1,2,1,2,2,2,0,1,2,1,0,2,2,1,0,2
50,0,0,0,2,0,0,2,3,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,1,1,0,4,1,1,6,0,-1,1,1,0,1,0,2,0,2,2,2,0,0,2,1,1,0,2,1,2,0
51,0,0,0,0,2,0,2,4,-1,-1,-1,3,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,1,1,1,0,0,2,0,0,2,0,1,1,2,1,1,1,1,2,0,2
52,0,0,0,2,0,0,2,3,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,1,1,0,4,1,1,6,0,-1,0,1,2,1,1,1,1,0,2,0,0,1,0,1,0,2,0,2,2,1
53,0,0,2,3,3,4,0,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,0,2,0,1,2,1,0,1,0,2,0,0,2,0,0,0,1,1,0,1
54,0,0,2,0,2,2,4,1,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,1,0,1,1,2,2,1,0,0,0,2,1,0,1,1,1,0,0,1,2
55,0,0,2,0,2,2,4,4,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,1,7,0,2,0,2,0,0,0,2,1,2,1,1,0,1,2,1,1,0,0,0,2,2
56,0,0,0,0,2,0,2,4,-1,-1,-1,3,2,1,1,1,1,0,0,2,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,2,2,0,0,1,1,0,0,0,2,2,0,1,1,0,2,0,2,0,2
57,0,0,2,3,3,4,0,2,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,0,0,1,2,2,1,1,1,2,0,1,0,2,1,0,1,0,2,0,2
58,0,0,2,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,0,0,1,2,1,0,2,2,0,2,1,2,1,2,2,0,1,0,2,2
59,0,0,2,3,3,4,0,2,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,-1,1,2,2,2,1,0,1,2,2,0,2,2,2,2,2,1,2,0,2,1
60,0,0,2,3,3,4,0,2,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,1,2,1,2,1,2,1,2,0,1,2,2,0,1,0,1,0,2,0,0
61,0,0,2,0,2,2,4,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,7,0,-1,2,0,1,2,1,0,1,2,0,2,1,1,2,2,1,2,0,1,2,2
62,0,0,2,3,3,4,0,2,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,0,0,1,0,0,0,1,2,0,0,2,2,1,0,2,2,1,1,1,2
63,0,0,2,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,7,0,3,0,2,1,2,2,1,1,2,1,1,1,0,0,2,0,1,1,1,1,0
64,0,0,2,0,3,2,4,4,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,1,7,0,2,1,2,1,2,2,0,2,2,0,0,0,2,1,0,0,0,0,1,2,0
65,0,0,0,0,2,0,2,4,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,2,0,2,1,2,2,2,1,0,2,2,2,1,1,2,1,1,2,1,2
66,0,0,2,0,2,2,4,4,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,6,6,0,1,0,1,4,1,1,7,0,2,2,2,0,2,1,0,2,2,2,0,2,0,1,2,1,0,0,0,0,2
67,0,0,2,3,3,4,0,2,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,-1,1,0,0,1,2,1,1,0,0,0,0,1,1,0,2,2,1,1,0,2
68,0,0,2,3,3,4,0,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,1,0,1,0,4,6,0,0,-1,0,1,0,2,0,1,2,1,0,0,0,2,0,2,1,0,1,2,2,2
69,0,0,2,3,3,4,0,2,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,-1,2,2,0,1,1,1,0,2,0,1,0,0,2,0,1,1,0,0,1,2
70,0,0,0,0,2,2,2,4,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,7,0,-1,1,1,0,0,2,1,0,2,0,0,0,1,1,1,2,2,1,1,1,2
71,0,0,2,0,2,2,4,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,5,6,6,0,1,0,1,4,1,1,7,0,3,2,2,0,1,1,2,1,1,1,0,0,1,0,0,2,1,2,0,0,1
72,0,0,2,0,2,2,4,1,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,3,4,6,1,0,1,0,1,4,1,6,1,0,-1,1,2,2,2,0,1,1,2,2,0,1,0,0,1,2,1,1,1,2,1
73,0,0,2,0,2,2,4,4,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,7,0,3,0,2,2,0,1,1,1,2,1,2,1,1,1,0,2,0,1,0,1,2
74,0,0,2,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,6,0,3,1,0,0,0,2,0,0,2,0,0,1,1,1,1,0,2,1,1,0,1
75,0,0,0,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,1,2,1,1,0,0,2,0,1,2,0,1,1,1,1,2,2,1,2,0
76,0,0,0,0,2,2,4,1,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,2,1,1,1,0,1,2,1,2,2,2,1,1,0,2,0,1,2,2,2
77,0,0,0,0,2,0,2,3,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,6,1,0,1,1,0,4,1,1,6,0,-1,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,2,2,2
78,0,0,2,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,7,0,3,0,0,0,2,0,0,0,0,0,1,0,2,1,1,2,0,2,2,2,0
79,0,0,2,3,3,4,0,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,-1,2,1,1,1,1,1,1,2,2,0,0,1,0,0,0,2,1,0,2,0
80,0,0,2,3,3,4,0,2,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,2,1,1,2,2,1,0,2,2,1,2,1,2,1,0,0,2,0,0,2
81,0,0,2,3,3,4,0,2,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,1,2,0,0,2,1,0,1,2,2,2,2,0,0,0,1,2,1,1,0
82,0,0,2,3,3,4,0,2,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,7,0,2,0,1,1,2,2,2,0,0,1,2,1,0,2,0,0,0,2,2,0,0
83,0,0,2,0,2,2,4,1,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,1,0,1,4,1,6,1,0,-1,2,1,0,0,0,2,0,1,2,1,0,2,1,1,1,2,0,2,0,2
84,0,0,2,0,2,2,4,4,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,4,1,1,7,0,-1,2,1,2,2,2,1,2,0,2,2,2,2,1,2,2,2,2,0,2,0
85,0,0,0,0,2,0,2,4,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,2,1,2,0,0,1,2,0,1,2,2,2,0,0,0,0,2,0,2,0
86,0,0,0,0,2,0,2,4,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,1,0,1,4,1,1,6,0,-1,0,2,0,0,0,0,2,2,2,0,2,2,2,2,1,1,0,2,0,0
87,0,0,2,3,3,4,0,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,1,0,1,0,4,6,0,0,-1,0,0,0,0,0,2,1,2,1,0,0,0,1,1,0,1,2,0,1,1
88,0,0,2,0,2,2,4,4,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,4,1,1,7,0,2,1,2,2,1,2,0,2,0,2,0,2,1,1,0,0,2,1,2,2,1
89,0,0,2,3,3,4,0,2,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,-1,1,2,0,2,0,1,1,2,2,0,0,2,2,0,0,1,0,0,2,2
90,0,0,2,3,3,4,0,2,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,2,1,0,0,1,2,1,0,0,1,2,0,0,1,2,2,0,0,2,1,2
91,0,0,2,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,7,0,3,0,1,0,1,1,2,0,1,0,2,0,0,0,1,2,1,0,0,1,1
92,0,0,2,3,3,4,0,2,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,0,0,-1,0,2,2,1,2,2,1,2,1,1,1,1,0,0,2,1,2,2,0,0
93,0,0,2,3,3,4,0,2,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,1,0,2,0,1,1,0,2,0,1,1,0,0,0,2,2,1,1,0,0
94,0,0,2,3,3,4,0,2,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,0,7,0,2,1,2,0,2,1,0,2,0,2,0,1,0,0,1,0,1,0,0,1,0
95,0,0,2,0,2,2,4,4,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,4,1,1,7,0,2,2,0,0,2,2,1,2,0,0,0,0,1,2,0,2,2,2,2,2,0
96,0,0,2,0,2,2,4,4,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,4,1,1,7,0,2,0,0,1,0,0,0,1,1,0,2,2,1,0,2,0,0,0,0,1,0
97,0,0,2,0,2,2,4,4,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,1,0,1,4,1,1,7,0,3,1,1,1,2,1,0,2,2,2,1,1,2,2,2,2,2,2,0,0,2
98,0,0,2,3,3,4,0,2,-1,-1,-1,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,1,0,1,0,4,0,0,0,-1,2,1,1,2,2,2,1,2,0,1,2,0,1,0,2,2,2,2,1,2
99,0,0,2,0,3,2,4,4,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,1,0,1,0,4,1,7,0,2,2,1,0,0,0,2,0,0,0,1,0,2,1,0,1,1,0,2,1,1
100,0,0,0,2,0,0,2,3,-1,-1,-1,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,1,1,0,3,0,5,2,0,-1,0,0,0,0,1,2,1,0,2,2,2,1,0,2,0,1,2,1,1,1
101,0,0,2,0,2,2,4,1,0,11,12,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,1,0,1,4,1,6,1,0,-1,1,0,1,0,0,2,2,1,1,1,1,0,1,1,1,1,2,2,0,2
102,0,0,0,2,0,5,6,6,-1,-1,-1,-1,2,1,1,1,1,0,0,2,0,2,2,2,5,0,1,1,0,3,0,5,2,0,-1,1,2,0,1,0,0,1,0,0,0,1,1,0,0,0,2,1,0,0,2
103,0,0,0,0,2,2,2,1,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,2,1,0,1,0,1,4,1,6,1,0,-1,0,2,0,2,1,2,0,0,2,1,2,0,0,1,0,0,1,2,1,1
