,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_n1,random_n2,random_n3
24,0,0,1,1,4,2,1,1,-1,7,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,1,1,0
25,0,0,1,1,4,2,4,1,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,2,2,0
26,0,0,1,3,1,2,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,0,1,0
27,0,0,1,3,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,0,2,1,1
28,0,0,1,3,1,1,1,1,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,0,1,0
29,0,0,1,1,4,2,4,1,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,1,0,2
30,0,0,1,1,4,2,4,1,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,1,0,2
31,0,0,1,3,1,1,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,2,0,2
32,0,0,1,3,1,1,6,7,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,0,4,2,5,1,-1,0,1,0
33,0,0,1,3,1,1,6,7,-1,-1,-1,-1,1,0,0,0,0,0,1,1,3,0,1,1,0,0,1,2,3,0,4,2,5,1,-1,1,2,0
34,0,0,1,1,4,2,4,1,-1,5,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,1,1,2
35,0,0,1,1,4,2,4,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,-1,1,1,0
36,0,0,1,3,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,0,0,2
37,0,0,1,3,1,1,1,1,-1,3,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,2,0,2
38,0,0,1,1,4,2,4,1,-1,-1,3,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,0,1,0
39,0,0,1,3,1,2,1,1,-1,4,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,0,2,2,1
40,0,0,1,3,1,1,1,1,-1,0,0,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,0,2,0,1
41,0,0,1,1,4,2,4,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,0,0,0,7,0,1,0,2,4,2,5,7,1,-1,0,2,1
42,0,0,1,1,4,2,4,1,-1,-1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,2,2,0
43,0,0,1,3,1,1,1,1,-1,-1,-1,0,0,0,0,0,0,0,1,1,3,0,0,3,3,0,1,2,3,0,0,3,2,1,-1,0,1,0
44,0,0,1,3,1,1,6,7,-1,-1,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,0,4,2,5,1,-1,0,1,1
45,0,0,1,1,4,2,4,1,-1,1,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,0,1,0
46,0,0,1,3,1,1,6,7,-1,8,5,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,0,4,2,5,1,-1,1,2,0
47,0,0,1,1,4,2,4,1,-1,2,1,0,0,0,0,0,0,0,1,1,3,0,0,0,7,0,1,2,2,4,2,5,7,1,1,1,0,1
48,0,0,1,3,1,1,6,7,-1,6,4,0,0,0,0,0,0,0,1,1,3,0,1,1,3,0,1,2,3,0,4,2,5,1,-1,2,0,2
49,0,0,1,1,4,2,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,3,0,0,3,7,0,1,2,3,0,0,3,2,1,-1,0,1,2
50,0,1,2,2,2,5,0,0,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,1,1,2,1,0,6,0,-1,0,0,0
51,0,1,2,2,3,5,0,0,-1,-1,-1,3,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,1,2,2
52,0,1,2,2,2,5,0,0,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,1,1,2,1,0,6,0,-1,0,2,1
53,0,1,0,0,0,0,2,3,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,1,0,1
54,0,1,0,0,3,4,3,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,2,2,2
55,0,1,0,0,3,4,3,6,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,0,4,0,2,2,2,1
56,0,1,2,2,3,5,0,0,-1,-1,-1,3,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,0,2,2
57,0,1,0,0,0,0,2,3,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,1,1,2
58,0,1,0,0,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,1,1,1
59,0,1,0,0,0,0,2,6,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,-1,1,0,2
60,0,1,0,0,0,0,2,3,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,1,0,0
61,0,1,0,0,3,4,3,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,4,0,-1,2,0,0
62,0,1,0,0,0,0,2,3,-1,-1,-1,-1,-1,-1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,2,2,2
63,0,1,0,0,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,4,0,3,2,2,1
64,0,1,0,0,3,4,3,6,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,0,4,0,2,0,1,1
65,0,1,2,2,3,5,0,0,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,2,1,2
66,0,1,0,0,3,4,3,6,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,6,6,0,0,0,0,2,1,0,4,0,2,1,0,2
67,0,1,0,0,0,0,2,6,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,-1,0,0,1
68,0,1,0,0,0,0,2,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,0,0,1,5,6,0,0,-1,1,2,0
69,0,1,0,0,0,0,2,6,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,-1,2,1,2
70,0,1,2,2,3,5,0,0,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,4,0,-1,0,1,0
71,0,1,0,0,3,4,3,6,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,5,6,6,0,0,0,0,2,1,0,4,0,3,0,2,2
72,0,1,0,0,3,4,3,2,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,2,0,0
73,0,1,0,0,3,4,3,6,-1,-1,-1,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,4,0,3,0,1,2
74,0,1,0,0,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,6,0,3,0,1,1
75,0,1,2,2,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,0,1,2
76,0,1,2,2,3,4,3,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,0,1,1
77,0,1,2,2,3,5,0,0,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,6,1,0,0,1,1,2,1,0,6,0,-1,0,1,0
78,0,1,0,0,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,4,0,3,0,2,1
79,0,1,0,0,0,0,2,6,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,-1,2,2,1
80,0,1,0,0,0,0,2,3,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,0,2,2
81,0,1,0,0,0,0,2,3,-1,9,11,4,2,1,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,2,0,2
82,0,1,0,0,0,0,2,6,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,4,0,2,1,1,0
83,0,1,0,0,3,4,3,2,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,1,2,1
84,0,1,0,0,3,4,3,6,-1,-1,9,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,2,1,0,4,0,-1,1,1,0
85,0,1,2,2,3,5,0,0,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,0,1,0
86,0,1,2,2,3,5,0,0,-1,-1,6,2,2,1,1,1,1,0,0,2,1,1,4,6,1,0,0,0,0,2,1,0,6,0,-1,1,1,0
87,0,1,0,0,0,0,2,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,0,0,1,5,6,0,0,-1,1,1,2
88,0,1,0,0,3,4,3,6,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,2,1,0,4,0,2,1,0,0
89,0,1,0,0,0,0,2,6,-1,-1,11,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,-1,0,2,1
90,0,1,0,0,0,0,2,6,-1,-1,-1,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,2,1,2,0
91,0,1,0,0,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,4,0,3,2,0,2
92,0,1,0,0,0,0,2,6,-1,-1,10,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,0,0,-1,0,1,1
93,0,1,0,0,0,0,2,3,-1,-1,8,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,1,1,0
94,0,1,0,0,0,0,2,6,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,4,4,0,2,2,0,1
95,0,1,0,0,3,4,3,6,-1,10,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,2,1,0,4,0,2,0,0,2
96,0,1,0,0,3,4,3,6,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,2,1,0,4,0,2,2,0,0
97,0,1,0,0,3,4,3,0,-1,-1,6,2,2,1,1,1,1,0,0,0,2,1,4,6,6,0,0,0,0,2,1,0,4,0,3,0,2,0
98,0,1,0,0,0,0,2,3,-1,-1,-1,5,3,2,1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,1,1,0
99,0,1,0,0,3,4,3,6,-1,-1,7,4,2,1,1,1,1,0,0,0,2,4,5,4,6,0,0,0,0,1,5,0,4,0,2,2,2,2
100,0,1,2,2,2,5,0,5,-1,-1,-1,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,2,1,1
101,0,1,0,0,3,4,3,2,0,11,12,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,1,2,0
102,0,1,2,2,2,3,5,4,-1,-1,-1,-1,2,1,1,1,1,0,0,2,0,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,0,0,0
103,0,1,2,2,3,4,0,0,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,2,1,0,0,0,0,2,1,6,1,0,-1,1,2,0
104,0,1,2,2,2,5,0,5,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,1,0,0
105,0,1,2,2,2,3,5,4,-1,-1,-1,-1,6,1,1,1,1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,0,1,1
106,0,1,0,0,0,0,2,6,-1,-1,-1,-1,-1,-1,-1,1,1,0,0,0,2,4,5,4,2,0,0,0,0,1,5,4,0,0,-1,2,1,2
107,0,1,2,2,2,3,5,4,-1,-1,-1,9,7,1,1,1,1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,2,1,2
108,0,1,2,2,3,4,3,2,-1,-1,-1,-1,-1,-1,1,1,1,0,0,2,1,3,2,2,1,0,0,0,0,2,1,6,1,0,-1,2,0,1
109,0,1,2,2,2,3,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,2,0,0
110,0,1,2,2,2,5,0,5,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,1,0,1
111,0,1,2,2,3,4,3,2,-1,-1,13,10,2,1,1,1,1,0,0,2,1,3,2,2,1,0,0,0,0,2,1,6,1,0,-1,2,0,1
112,0,1,2,2,2,5,0,5,-1,-1,14,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,2,0,1
113,0,1,0,0,0,4,3,2,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,2,0,1
114,0,1,0,0,3,4,3,2,-1,-1,-1,-1,-1,1,1,1,1,0,0,0,1,3,2,2,1,0,0,0,0,2,1,6,1,0,-1,2,1,1
115,0,1,2,2,2,5,0,5,-1,-1,-1,-1,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,2,0,1
116,0,1,2,2,3,5,0,0,-1,-1,15,2,2,1,1,1,1,0,0,2,1,1,2,2,5,0,0,1,1,2,1,1,1,0,-1,0,2,2
117,0,1,2,2,2,3,5,4,-1,-1,-1,12,8,4,2,2,2,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,1,2,2
118,0,1,2,2,2,3,5,4,-1,-1,-1,-1,-1,-1,1,1,1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,2,1,1
119,0,1,0,0,0,0,2,2,-1,-1,-1,6,4,3,1,1,1,0,0,0,2,3,4,4,2,0,0,0,0,1,5,6,0,0,-1,2,1,1
120,0,1,2,2,2,5,0,5,-1,12,16,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,4,1,1,1
121,0,1,0,0,3,4,3,2,-1,-1,-1,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,2,2,2
122,0,1,2,2,2,3,5,4,-1,-1,-1,-1,6,1,1,1,1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,1,1,0
123,0,1,0,0,3,4,3,2,-1,-1,13,10,2,1,1,1,1,0,0,0,1,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,0,1,0
124,0,1,2,2,2,5,0,5,-1,-1,-1,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,4,2,0,0
125,0,1,2,2,2,3,5,4,-1,-1,-1,-1,-1,1,1,1,1,0,0,2,0,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,2,1,1
126,0,1,0,0,3,4,3,2,-1,-1,13,10,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,6,1,0,-1,0,2,0
127,0,1,2,2,3,4,3,0,-1,13,17,13,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,1,0,-1,2,1,1
128,0,1,2,2,3,5,0,2,-1,14,18,10,2,1,1,1,1,0,0,2,1,3,2,2,5,0,0,1,1,2,1,6,1,0,-1,0,1,0
129,0,1,2,2,2,3,5,4,-1,-1,-1,-1,7,1,1,1,1,0,0,2,0,2,3,5,5,0,0,1,1,3,3,1,3,0,-1,0,0,2
130,0,1,2,2,2,3,5,4,-1,-1,-1,9,7,1,1,1,1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,2,0,2
131,0,1,2,2,2,3,5,4,-1,-1,-1,12,8,4,2,2,2,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,0,1,1
132,0,1,2,2,3,5,0,2,-1,14,18,10,2,1,1,1,1,0,0,2,1,3,2,2,5,0,0,1,1,2,1,6,1,0,-1,2,1,0
133,0,1,0,0,3,4,3,0,-1,-1,-1,2,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,6,1,0,-1,2,2,0
134,0,1,0,0,3,4,3,2,-1,-1,-1,-1,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,2,1,0
135,0,1,2,2,2,3,5,4,-1,-1,-1,-1,6,1,1,1,1,0,0,2,0,2,3,5,4,0,0,1,1,3,3,1,3,0,-1,0,2,0
136,0,1,2,2,2,5,0,5,-1,-1,19,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,0,2,0
137,0,1,2,2,3,5,0,0,-1,-1,15,2,2,1,1,1,1,0,0,2,1,1,2,2,5,0,0,1,1,2,1,0,1,0,-1,0,1,2
138,0,1,0,0,3,4,3,0,-1,13,17,13,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,1,0,-1,1,2,1
139,0,1,2,2,2,5,0,5,-1,-1,14,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,2,2,0
140,0,1,2,2,2,5,0,5,-1,-1,-1,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,4,0,0,2
141,0,1,2,2,2,5,0,5,-1,-1,-1,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,4,1,1,0
142,0,1,0,0,3,4,3,2,0,11,12,8,2,1,1,1,1,0,0,0,2,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,2,1,2
143,0,1,2,2,2,5,0,5,-1,12,16,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,4,2,1,1
144,0,1,2,2,2,5,0,5,-1,-1,-1,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,4,2,2,0
145,0,1,2,2,2,5,0,5,-1,-1,-1,11,2,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,1,1,0
146,0,1,0,0,3,4,3,2,-1,-1,-1,-1,2,1,1,1,1,0,0,0,1,3,4,6,1,0,0,0,0,2,1,6,1,0,-1,0,1,2
147,0,1,2,2,3,5,0,5,-1,-1,-1,2,2,1,1,1,1,0,0,2,1,1,2,2,5,0,0,1,1,2,1,1,1,0,-1,0,1,1
148,0,1,2,2,2,5,0,5,-1,-1,19,7,5,1,1,1,1,0,0,2,1,2,2,2,5,0,0,1,1,3,3,1,3,0,-1,0,2,2
149,0,1,0,0,3,4,3,0,-1,-1,17,13,2,1,1,1,1,0,0,0,1,1,4,6,1,0,0,0,0,2,1,0,1,0,-1,0,0,2
