,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,mean_shift_,optics_,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25
96,0,1,0,0,0,2,1,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,-1,0,0,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1
97,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,-1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0
98,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,0,0,-1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,1
99,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,4,2,3,0,-1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,0
100,0,1,0,0,1,0,2,5,0,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,2,4,0,2,7,0,24,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,0
101,0,1,0,0,1,0,1,0,14,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,-1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
102,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,2,0,6,0,7,0,1,0,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,1,1
103,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,15,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1
104,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,3,2,0,0,0,14,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
105,0,1,0,0,1,0,2,5,-1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,2,4,0,2,7,0,24,1,1,1,0,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,1,1
106,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,10,1,0,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
107,0,1,0,0,1,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,1,1,6,2,0,-1,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0
108,0,0,1,3,2,5,4,3,-1,-1,-1,3,3,0,1,1,1,0,1,1,1,3,5,1,7,0,1,1,2,4,0,4,7,3,-1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1
109,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,-1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0
110,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,16,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1
111,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,-1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1
112,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,6,0,1,0,0,1,4,1,1,0,-1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,0
113,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,13,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0
114,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,17,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,1,1
115,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,-1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1
116,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,-1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1
117,0,1,0,3,2,5,2,5,-1,14,0,0,0,0,1,1,1,0,0,2,2,3,0,3,3,0,1,1,2,4,0,4,7,0,-1,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,0
118,0,1,0,3,2,5,2,5,-1,5,0,0,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,1,2,4,0,4,7,0,25,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0
119,0,0,2,2,0,1,6,2,6,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,1,2,2,3,5,5,0,2,1,0,1,0,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0
120,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,10,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1
121,0,0,2,3,2,1,4,2,15,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,2,4,0,4,7,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,0,0,1,0
122,0,0,2,2,4,4,0,6,-1,-1,-1,4,4,3,3,2,1,0,1,1,3,2,4,0,5,0,1,1,2,2,3,5,5,4,-1,1,0,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,0,1
123,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,4,1,1,0,-1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1
124,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,1,1
125,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,2,3,0,-1,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0
126,0,1,0,0,1,0,2,5,-1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,2,4,0,2,3,0,-1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,0,1,0
127,0,0,2,2,4,1,0,2,-1,-1,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,2,2,3,5,5,2,-1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0
128,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,0,2,4,1,1,0,19,1,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,0
129,0,0,2,2,4,1,0,2,-1,13,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,2,2,3,5,5,2,26,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1
130,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,2,0,6,0,7,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,1,1,0,1,1,0,0
131,0,1,0,3,2,5,2,5,-1,8,0,0,0,0,1,1,1,0,0,2,2,3,3,3,3,0,1,1,2,4,0,4,7,0,-1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1
132,0,1,0,3,0,2,2,5,2,2,0,0,0,0,1,1,1,0,0,2,0,4,3,3,4,0,1,1,2,4,0,2,3,0,-1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,0,0,0
133,0,1,0,0,0,2,6,7,16,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,0,2,4,1,1,0,-1,1,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,1
134,0,0,2,3,2,5,4,2,9,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,2,4,0,4,7,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1
135,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,2,2,3,0,-1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
136,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,-1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1
137,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,8,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
138,0,1,0,0,0,2,2,5,4,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,1,2,4,0,2,3,0,-1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,0
139,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,8,0,1,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1
140,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,15,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0
141,0,1,0,3,2,5,2,5,-1,11,0,0,0,0,1,1,1,0,0,2,0,3,3,3,3,0,1,1,2,4,0,4,7,0,-1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,0
142,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,10,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,0,1,0
143,0,1,0,0,1,0,1,7,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,1,1,2,3,0,18,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,0,1,1,1,1
144,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,12,1,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0
145,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,2,0,0,0,1,3,2,0,6,0,7,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,0,0,1,0,1
146,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,-1,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
147,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,0,2,4,1,1,0,19,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,1,1,0,0
148,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,4,1,3,0,-1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0
149,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,2,3,0,-1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1,1,0,1,0,1
150,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,-1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1
151,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,17,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
152,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,16,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0
153,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,-1,1,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,0,0,1
154,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,1,1,1,2,3,0,-1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,1
155,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,2,4,0,0,0,1,3,2,0,6,0,-1,1,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0
156,0,0,2,2,0,1,6,2,17,6,0,0,0,0,1,1,1,0,1,0,3,4,1,6,6,0,1,1,2,2,3,5,5,0,-1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0
157,0,1,2,2,0,2,6,7,-1,2,0,0,0,0,1,1,1,0,1,0,0,4,1,6,6,0,1,1,0,2,4,1,1,0,23,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1
158,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,2,0,6,0,7,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1
159,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,12,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0,1
160,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,11,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,0,1,0,1
161,0,0,2,2,4,1,0,6,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,5,4,5,0,1,1,2,2,3,5,5,2,-1,0,1,1,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1,0
162,0,0,1,1,3,3,3,3,-1,9,2,1,2,2,2,0,0,0,1,1,1,1,0,0,1,0,1,1,2,4,0,4,7,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1,0,0,1,1,1,0
163,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,1,0,6,0,7,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,0,1
164,0,0,2,2,4,1,0,6,-1,-1,-1,-1,5,4,1,1,1,0,1,0,3,1,5,4,5,0,1,1,2,2,3,5,5,2,-1,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0
165,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,0,2,4,1,1,0,19,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0
166,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,-1,1,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1,1,0
167,0,0,0,3,0,2,6,2,8,2,0,0,0,0,1,1,1,0,0,0,0,4,1,3,6,0,1,1,2,4,0,2,3,0,-1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0
168,0,0,1,3,2,5,2,3,-1,-1,-1,-1,0,0,1,1,1,0,1,1,1,3,0,1,3,0,1,1,2,4,0,4,7,1,-1,0,0,0,0,1,1,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,0,0
169,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,0,2,4,1,1,0,19,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,1,0,0,0
170,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,1,6,2,0,7,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1
171,0,1,0,3,1,5,2,5,-1,10,3,0,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,1,2,4,0,4,7,0,-1,0,1,0,1,0,1,1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0
172,0,1,0,3,2,5,2,5,-1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,3,4,0,1,1,2,4,0,2,3,0,-1,1,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0
173,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,1
174,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,-1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1
175,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,-1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,0,0
176,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,16,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0
177,0,1,2,2,0,2,6,7,18,2,0,0,0,0,1,1,1,0,0,0,0,4,1,6,6,0,1,1,0,2,4,1,1,0,23,1,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1
178,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,6,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1
179,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,-1,1,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,0,0,1
180,0,0,2,2,4,1,0,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,3,1,4,0,3,0,1,1,2,2,3,5,5,6,-1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,0,0
181,0,0,1,3,2,5,4,3,-1,-1,0,0,0,0,1,1,1,0,1,1,1,3,0,1,7,0,1,1,2,4,0,4,7,3,-1,1,1,0,0,1,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1
182,0,1,0,3,2,5,2,5,3,5,0,0,0,0,1,1,1,0,0,1,1,3,0,3,3,0,1,1,2,4,0,4,7,0,25,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0
183,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,8,0,1,0,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,0,1,0
184,0,1,0,0,0,2,6,7,5,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,2,4,0,2,3,0,20,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
185,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,3,0,5,3,4,0,-1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1
186,0,0,2,2,0,1,6,2,-1,6,0,0,0,0,1,1,1,0,1,0,3,1,1,6,6,0,1,1,2,2,3,5,5,0,-1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0
187,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,0,0,-1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,1
188,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,2,0,6,0,-1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1
189,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,0,0,1,3,1,6,2,0,-1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0
190,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,2,3,0,-1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1
191,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,6,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0
192,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,0,6,0,-1,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0
193,0,1,0,0,1,0,2,5,-1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,1,1,2,4,0,4,7,0,-1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,1
194,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,1,6,6,0,1,0,0,2,4,1,1,0,19,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,1,0
195,0,1,0,0,0,2,6,7,1,2,0,0,0,0,1,1,1,0,0,2,0,4,3,2,4,0,1,0,0,1,1,6,2,0,6,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,1
196,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,3,2,4,0,1,0,1,4,0,2,3,0,22,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
197,0,0,2,2,4,1,0,6,-1,-1,5,0,0,0,1,1,1,0,1,0,3,1,1,6,5,0,1,1,2,2,3,5,5,0,-1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,1,1
198,0,0,2,3,2,5,4,2,-1,4,0,0,0,0,1,1,1,0,1,0,3,3,5,3,7,0,1,1,2,4,0,4,7,2,1,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0
199,0,1,0,3,1,5,2,5,-1,14,0,0,0,0,1,1,1,0,0,2,2,3,0,3,3,0,1,1,2,4,0,4,7,0,-1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,0,0,0
200,0,1,0,0,1,0,1,0,1,2,0,0,0,0,1,1,1,0,0,2,2,0,2,5,2,0,0,2,1,3,2,2,0,0,-1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1
